cell_id,condition,opponent,seed,provider,cooperation_rate,action_volatility,half_life,curvature_beta2,cross_lag_peak,coop_recovery_delay,cost_usd,status
No-H_Random_s2048_openai,No-H,Random,2048,openai,0.8,17,,0.43561219361109044,0,,0.0327126,ok
No-H_GTFT_s17_anthropic,No-H,GTFT,17,anthropic,0.9,10,,2.4577651284935444,0,,0.06986400000000001,ok
No-H_Random_s8192_deepseek,No-H,Random,8192,deepseek,0.74,16,,0.28885506262804306,0,4,0.008888599999999998,degraded
No-H_GTFT_s7_deepseek,No-H,GTFT,7,deepseek,0.84,10,,-3.8245735682352238,0,12,0.00831488,ok
No-H_Random_s4096_deepseek,No-H,Random,4096,deepseek,0.7,23,,-4.019723797555612,0,5,0.009079559999999999,degraded
No-H_Random_s4096_openai,No-H,Random,4096,openai,0.58,21,,1.1834562260011987,0,10,0.0362346,ok
No-H_GTFT_s99_anthropic,No-H,GTFT,99,anthropic,0.86,11,,-0.7105562699410755,0,9,0.07956900000000001,ok
No-H_Random_s8192_openai,No-H,Random,8192,openai,0.74,17,,-3.4810951755537287,0,,0.0335186,ok
No-H_GTFT_s7_openai,No-H,GTFT,7,openai,0.9,7,,0.2541088563793107,0,,0.02935020000000001,ok
No-H_GTFT_s123_anthropic,No-H,GTFT,123,anthropic,0.88,9,,-3.034641131993408,0,7,0.08229899999999997,ok
No-H_GTFT_s17_openai,No-H,GTFT,17,openai,0.86,14,,0.0015887304254608998,0,5,0.029023799999999995,ok
No-H_GTFT_s17_deepseek,No-H,GTFT,17,deepseek,0.88,11,,1.2273454733768572,0,,0.008166200000000004,ok
